,subjectID,Behavior20,Behavior21,Behavior22,Behavior23,Behavior24,Behavior25,Behavior26,Behavior27,Behavior28,Behavior29,Behavior30,Behavior31,Behavior32,Behavior33,Behavior34,Behavior35,Behavior64,Fear_of_everyday_situations441,Fear_of_everyday_situations445,Fear_of_everyday_situations447,Fear_of_everyday_situations449,Fear_of_everyday_situations453,Fear_of_everyday_situations454,Fear_of_everyday_situations462,Risk_perception1,Risk_perception10,Risk_perception110,Risk_perception111,Risk_perception112,Risk_perception113,Risk_perception114,Risk_perception115,Risk_perception116,Risk_perception2,Risk_perception3,Risk_perception4,Risk_perception5,Risk_perception6,Risk_perception7,Risk_perception8,Risk_perception9
214,sub0228,2.0,0.0,0.0,0.0,0.0,55.0,83.0,76.0,71.0,56.0,82.0,99.0,36.0,52.0,66.0,60.0,82.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,73,78.0,34.0,87.0,86.0,80.0,87.0,81.0,0.0,68,61,77,70,73.0,88.0,99.0,75.0
215,sub0396,0.0,0.0,0.0,0.0,0.0,64.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,62,100.0,100.0,100.0,100.0,100.0,100.0,93.0,0.0,97,22,100,61,62.0,52.0,63.0,100.0
216,sub0122,79.0,44.0,14.0,0.0,0.0,11.0,100.0,0.0,0.0,88.0,82.0,86.0,100.0,19.0,19.0,17.0,84.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1,1.0,1.0,2.0,100.0,1.0,2.0,100.0,78.0,5,100,100,1,0.0,0.0,1.0,46.0
217,sub0315,0.0,0.0,0.0,0.0,0.0,25.0,91.0,2.0,5.0,93.0,100.0,100.0,95.0,99.0,100.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,60,82.0,69.0,51.0,73.0,41.0,60.0,100.0,56.0,31,82,85,64,66.0,79.0,83.0,98.0
218,sub0161,0.0,0.0,0.0,0.0,0.0,55.0,100.0,5.0,4.0,81.0,100.0,100.0,66.0,94.0,89.0,91.0,100.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,54,52.0,1.0,86.0,86.0,78.0,78.0,70.0,61.0,25,18,50,56,56.0,71.0,81.0,51.0
219,sub0391,83.0,78.0,75.0,53.0,34.0,49.0,16.0,48.0,13.0,32.0,75.0,8.0,21.0,34.0,44.0,48.0,61.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5,40.0,15.0,20.0,19.0,2.0,33.0,76.0,50.0,64,6,41,13,52.0,46.0,47.0,13.0
220,sub0547,75.0,0.0,0.0,0.0,0.0,3.0,61.0,71.0,63.0,76.0,51.0,72.0,69.0,71.0,67.0,69.0,77.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,45,77.0,55.0,61.0,75.0,85.0,84.0,68.0,67.0,59,58,52,70,63.0,80.0,66.0,82.0
221,sub0629,56.0,46.0,31.0,25.0,16.0,100.0,83.0,71.0,83.0,77.0,80.0,87.0,89.0,6.0,13.0,20.0,85.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,0,33.0,23.0,38.0,50.0,43.0,34.0,68.0,56.0,22,39,26,46,23.0,35.0,33.0,35.0
222,sub0206,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,92.0,100.0,100.0,100.0,92.0,64.0,85.0,92.0,100.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,26,79.0,0.0,16.0,68.0,45.0,28.0,99.0,4.0,61,87,86,45,49.0,54.0,54.0,94.0
223,sub0192,4.0,1.0,0.0,0.0,0.0,76.0,85.0,51.0,58.0,89.0,96.0,99.0,82.0,72.0,74.0,51.0,100.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,25,77.0,32.0,53.0,89.0,26.0,43.0,70.0,48.0,15,15,83,28,58.0,33.0,68.0,87.0
224,sub0395,1.0,0.0,0.0,0.0,1.0,72.0,66.0,74.0,80.0,81.0,75.0,69.0,82.0,59.0,66.0,59.0,77.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,75,70.0,82.0,75.0,71.0,80.0,83.0,85.0,72.0,71,83,74,78,73.0,72.0,68.0,66.0
225,sub0571,0.0,0.0,0.0,0.0,0.0,26.0,49.0,0.0,59.0,75.0,65.0,61.0,59.0,49.0,48.0,67.0,62.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,60,79.0,49.0,50.0,95.0,70.0,69.0,49.0,30.0,83,86,79,68,70.0,72.0,85.0,87.0
226,sub0412,71.0,10.0,0.0,1.0,0.0,15.0,74.0,94.0,0.0,88.0,11.0,23.0,95.0,96.0,93.0,86.0,80.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,9,14.0,2.0,94.0,57.0,1.0,9.0,93.0,98.0,13,64,65,12,7.0,1.0,48.0,68.0
227,sub0330,0.0,0.0,0.0,0.0,0.0,67.0,100.0,68.0,66.0,99.0,100.0,99.0,100.0,64.0,74.0,92.0,100.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,90,100.0,56.0,62.0,99.0,100.0,100.0,100.0,16.0,99,100,99,100,100.0,100.0,100.0,78.0
228,sub0625,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,19,100,100,100,,,,
229,sub0447,1.0,0.0,0.0,0.0,0.0,100.0,56.0,63.0,75.0,69.0,100.0,100.0,31.0,89.0,100.0,6.0,100.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,43,82.0,89.0,83.0,98.0,89.0,82.0,96.0,12.0,48,39,50,60,55.0,92.0,86.0,67.0
230,sub0171,6.0,0.0,0.0,0.0,0.0,2.0,91.0,13.0,43.0,52.0,95.0,100.0,96.0,100.0,100.0,100.0,94.0,0.0,3.0,3.0,4.0,3.0,2.0,3.0,97,99.0,100.0,100.0,100.0,100.0,100.0,94.0,57.0,97,95,100,100,88.0,83.0,78.0,100.0
231,sub0610,96.0,0.0,0.0,0.0,0.0,49.0,69.0,0.0,0.0,91.0,80.0,54.0,42.0,30.0,28.0,27.0,62.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,59,73.0,67.0,69.0,74.0,79.0,74.0,79.0,20.0,72,86,77,51,64.0,80.0,91.0,71.0
232,sub0530,0.0,0.0,0.0,0.0,0.0,70.0,95.0,50.0,48.0,50.0,49.0,100.0,94.0,86.0,92.0,94.0,97.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,96,50.0,95.0,92.0,96.0,96.0,99.0,100.0,89.0,52,81,96,90,89.0,90.0,92.0,89.0
233,sub0200,0.0,0.0,0.0,0.0,0.0,37.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.0,88.0,100.0,100.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,57,87.0,59.0,65.0,100.0,87.0,84.0,100.0,25.0,72,90,90,76,66.0,60.0,63.0,89.0
